pl,mig
Mój dziadek jest inwalidą wojennym i otrzymuję rentę z zus.,Mój dziadek inwalida wojna renta zus mieć
Czy ma Pan legitymację kombatancką?,Ty legitymacja kombatant mieć
Mam wezwanie na komisje lekarską.,Ja komisja lekarska wezwanie mieć
Moja mama otrzymuje rentę krus.,Moja mama renta krus mieć
Czy ma Pani ukończony kurs rolniczy?,Ty kurs rolniczy mieć
Czy ma Pan ukończony kurs rolniczy?,Ty kurs rolniczy mieć
Ja pracuję na gospodarstwie rolnym.,Ja gospodarstwo rolne praca mieć
Mój brat jest kawalerem.,Mój brat kawaler być
Ja płacę duży rachunek za gaz i elektryczność.,Ja gaz elektrycznosc rachunek drogo płacić
W jakim sklepie można zrobić tanie zakupy?,Sklep gdzie zakupy tanio
W jakim sklepie można zrobić tanie zakupy?,Sklep gdzie jest tanio
Muszę wysłać faks.,Ja faks musieć wysłać
Poproszę o Pani numer telefonu?,Ja prosić ty telefon numer dać mi
Poproszę o Pana numer telefonu?,Ja prosić ty telefon numer dać mi
Ile to kosztuje?,To ile kosztować
Czy mogę otrzymać ulgę w opłacie czynszu?,Czynsz ulga można
Ukradli mi wszystkie pieniądze.,Ja pieniądze strata ukraść
Muszę oszczędzać pieniądze.,Ja pieniądze oszczędzać musieć
Osobie niepełnosprawnej trzeba pomóc wykąpać się.,Osoba niepełnosprawna kąpać pomoc musieć
Dzieci nie lubią myć zębów.,Dzieci zęby myć nie lubić
Potrzebuję nową lodówkę i kuchenkę ale są za drogie.,Ja lodówka kuchenka nowa potrzeba ale drogo
Trzeba zrobić remont w pokojach dla dzieci.,Pokój dzieci remont potrzeba robić
Babcia nie może kąpać się w wannie i potrzebny jest prysznic.,Babcia kąpiel wanna niemożliwe prysznic potrzeba
Czy dyrektor mops wydał decyzję w mojej sprawie?,Dyrektor mops decyzja moja sprawa już
Proszę podpisać to oświadczenie.,Ja prosić ty oświadczenie podpis
Gdzie można zgłosić przemoc w mojej rodzinie.,Moja rodzina przemoc pomoc gdzie załatwić
Czy na policji jest tłumacz języka migowego?,Policja tłumacz jest
Czy Pani mąż jest agresywny?,Twój mąż agresja być
Mąż mnie pobił i byłam hospitalizowana w szpitalu.,Mąż bić mnie ja w szpital być
Czy sytuacja rodzinna zmieniła się na lepsze?,Twoja rodzina teraz lepiej być
Proszę opowiedzieć co wydarzyło się w Pani rodzinie.,Ty powiedzieć co wydarzyło twoja rodzina
Czy ma Pani krewnych lub przyjaciół którzy mogą pomóc?,Ty krewny przyjaciel pomagać otrzymać uda
Czy ma Pani krewnych lub przyjaciół którzy mogą pomóc?,Ty krewny przyjaciel pomagać otrzymać można
Otrzymałam dofinansowanie na zakup odzieży dla dzieci.,Odzież dzieci dofinansowanie otrzymać
Czy w łazience jest ciepła woda?,Łazienka ciepła woda jest
Czy wyjeżdżacie z dziećmi na urlop.,Dzieci urlop razem wyjazd
Mąż jest w sanatorium.,Mąż jest sanatorium
Głusi jadą na turnus rehabilitacyjny.,Głusi turnus rehabilitacja wyjazd
Kiedy w tym roku zaczynają się wakacje?,Wakacje teraz kiedy zaczynać
Mój dom jest stary i zimny.,Dom mój stary zimno jest
Rzadko palę papierosy.,Ja papierosy palić rzadko
Brakuje mi pieniędzy i nie mogę kupić wszystkich lekarstw.,Ja lekarstwa kupić niemożliwe pieniądze brakowac
Brakuje mi pieniędzy i nie mogę kupić wszystkich lekarstw.,Ja lekarstwa kupić pieniądze skąd
Ja mam bezpłatny urlop.,Ja urlop bezpłatny mieć
W którym roku była II wojna światowa.,Wojna światowa 2 kiedy było
W którym roku była II wojna światowa.,Wojna światowa 2 kiedy rok
Proszę zawiadomić opiekę społeczną o trudnej sytuacji rodzinnej.,Ty opieka społeczna zgłosić rodzina problem
Otrzymałam zasiłek z pomocy społecznej.,Ja zasiłek pomoc społeczna otrzymać
Jak długo można otrzymywać zasiłek dla bezrobotnych w rzeszowie?,Zasiłek bezrobotny rzeszów jak długo można
Na jakiej ulicy jest zakład karny?,Zakład karny ulica nazwa jak
Gdzie jest Pan zameldowany?,Ty zameldowanie gdzie
Co to jest zasiłek opiekuńczy?,Zasiłek opiekuńczy wytłumaczyć
Czy otrzymuje Pani zasiłek opiekuńczy na niepełnosprawne dziecko?,Ty zasiłek dziecko niepełnosprawne otrzymywać
