pl,mig
Trzeba wezwać pogotowie., POGOTOWIE WEZWAĆ
Który to szpital., SZPITAL GDZIE
Który to szpital., SZPITAL KTÓRY
Który to szpital., SZPITAL JAKI
Ten człowiek jest nieprzytomny., CZŁOWIEK NIEPRZYTOMNY
Czy ta pani była przytomna?, TA KOBIETA PRZYTOMNA BYŁO
Czy ta pani była przytomna?, TA PANI PRZYTOMNA BYŁO
Ja mam kroplówkę., JA KROPLÓWKA
Trzeba zrobić opatrunek., OPATRUNEK MUSI
Na ulicy była krew., ULICA KREW BYŁO
Trzeba jechać do szpitala., SZPITAL JECHAĆ
Na jakiej ulicy jest apteka?, APTEKA GDZIE
Na jakiej ulicy jest apteka?, APTEKA ULICA JAKA
Czy pani ma konto w banku?, TY KONTO BANK MASZ
Czy pan ma konto w banku?, TY KONTO BANK MASZ
Czy pani ma konto w banku?, Pani KONTO BANK MASZ
Czy pan ma konto w banku?, Pan KONTO BANK MASZ
Trzeba zwrócić kredyt do banku., BANK RATA ZWROT MUSI
Kiedy będzie wypłacona pożyczka?, POŻYCZKA WYPŁATA KIEDY
To jest ostatnia rata., RATA OSTATNIA
Czy otrzymałaś zawiadomienie z banku?, TY BANK ZAWIADOMIENIE BYŁO
Ja otrzymuję wypłatę na konto w banku., JA KONTO WYPŁATA
Raty trzeba płacić systematycznie., RATA SYSTEMATYCZNE PŁACIĆ MUSIEĆ
Ja potrzebuję wziąć pożyczkę., JA POŻYCZKA POTRZEBA
Koniec ze spłatami rat., RATA KONIEC
Proszę odpowiedzieć na pytanie., PROSIĆ JA PYTAĆ TY Odpowiedź
Proszę migać powoli., JA PROSIĆ TY MIGAĆ POWOLI
Proszę mówić powoli., JA PROSIĆ TY MÓWIĆ POWOLI
Czy jest tłumacz języka migowego?, TŁUMACZ MIGAĆ JEST
Proszę odpowiedzieć na pytanie., JA PYTAĆ TY ODPOWIEDŹ PROSIĆ
Ja umiem dobrze migać., JA MIGAĆ DOBRZE
Ja ciebie nie zrozumiałem., JA NIE ROZUMIEĆ CIEBIE TY POWTÓRZYĆ
Czy ma pani rodzinę?, TY RODZINA masz
Czy ma pan rodzinę?, TY RODZINA masz
Czy ma pani rodzinę?, PANI RODZINA masz
Czy ma pan rodzinę?, PAN RODZINA masz
Czy twoja rodzina ma niebieską kartę?, TWOJA RODZINA NIEBESKA KARTA
Czy pan jest kawalerem?, TY KAWALER
Czy pan jest kawalerem?, PAN KAWALER
Czy pani jest panną?, TY PANNA
Czy pani jest panną?, PANI PANNA
