pl,mig
Mój dziadek jest inwalidą wojennym i otrzymuję rentę z ZUS., MÓJ DZIADEK INWALIDA WOJNA RENTA ZUS MIEĆ
Czy ma Pan legitymację kombatancką?, TY LEGITYMACJA KOMBATANT MIEĆ
Mam wezwanie na komisje lekarską., JA KOMISJA LEKARSKA WEZWANIE MIEĆ
Moja mama otrzymuje rentę KRUS., MOJA MAMA RENTA KRUS MIEĆ
Czy ma Pani ukończony kurs rolniczy?, TY KURS ROLNICZY MIEĆ
Czy ma Pan ukończony kurs rolniczy?, TY KURS ROLNICZY MIEĆ
Ja pracuję na gospodarstwie rolnym., JA GOSPODARSTWO ROLNE PRACA MIEĆ
Mój brat jest kawalerem., MÓJ BRAT KAWALER BYĆ
Ja płacę duży rachunek za gaz i elektryczność., JA GAZ ELEKTRYCZNOSC RACHUNEK DROGO PŁACIĆ
W jakim sklepie można zrobić tanie zakupy?, SKLEP GDZIE ZAKUPY TANIO
W jakim sklepie można zrobić tanie zakupy?, SKLEP GDZIE JEST TANIO
Muszę wysłać faks., JA FAKS MUSIEĆ WYSŁAĆ
Poproszę o Pani numer telefonu?, JA PROSIĆ TY TELEFON NUMER DAĆ MI
Poproszę o Pana numer telefonu?, JA PROSIĆ TY TELEFON NUMER DAĆ MI
Ile to kosztuje?, TO ILE KOSZTOWAĆ
Czy mogę otrzymać ulgę w opłacie czynszu?, CZYNSZ ULGA MOŻNA
Ukradli mi wszystkie pieniądze., JA PIENIĄDZE STRATA UKRAŚĆ
Muszę oszczędzać pieniądze., JA PIENIĄDZE OSZCZĘDZAĆ MUSIEĆ
Osobie niepełnosprawnej trzeba pomóc wykąpać się., OSOBA NIEPEŁNOSPRAWNA KĄPAĆ POMOC MUSIEĆ
Dzieci nie lubią myć zębów., DZIECI ZĘBY MYĆ NIE LUBIĆ
Potrzebuję nową lodówkę i kuchenkę ale są za drogie., JA LODÓWKA KUCHENKA NOWA POTRZEBA ALE DROGO
Trzeba zrobić remont w pokojach dla dzieci., POKÓJ DZIECI REMONT POTRZEBA ROBIĆ
Babcia nie może kąpać się w wannie i potrzebny jest prysznic., BABCIA KĄPIEL WANNA NIEMOŻLIWE PRYSZNIC POTRZEBA
Czy dyrektor MOPS wydał decyzję w mojej sprawie?, DYREKTOR MOPS DECYZJA MOJA SPRAWA JUŻ
Proszę podpisać to oświadczenie., JA PROSIĆ TY OŚWIADCZENIE PODPIS
Gdzie można zgłosić przemoc w mojej rodzinie., MOJA RODZINA PRZEMOC POMOC GDZIE ZAŁATWIĆ
Czy na policji jest tłumacz języka migowego?, POLICJA TŁUMACZ JEST
Czy Pani mąż jest agresywny?,  TWÓJ MĄŻ AGRESJA BYĆ
Mąż mnie pobił i byłam hospitalizowana w szpitalu., MĄŻ BIĆ MNIE JA W SZPITAL BYĆ
Czy sytuacja rodzinna zmieniła się na lepsze?, TWOJA RODZINA TERAZ LEPIEJ BYĆ
Proszę opowiedzieć co wydarzyło się w Pani rodzinie., TY POWIEDZIEĆ CO WYDARZYŁO TWOJA RODZINA
Czy ma Pani krewnych lub przyjaciół którzy mogą pomóc?, TY KREWNY PRZYJACIEL POMAGAĆ OTRZYMAĆ UDA
Czy ma Pani krewnych lub przyjaciół którzy mogą pomóc?, TY KREWNY PRZYJACIEL POMAGAĆ OTRZYMAĆ MOŻNA
Otrzymałam dofinansowanie na zakup odzieży dla dzieci., ODZIEŻ DZIECI DOFINANSOWANIE OTRZYMAĆ
Czy w łazience jest ciepła woda?, ŁAZIENKA CIEPŁA WODA JEST
Czy wyjeżdżacie z dziećmi na urlop., DZIECI URLOP RAZEM WYJAZD
Mąż jest w sanatorium., MĄŻ JEST SANATORIUM
Głusi jadą na turnus rehabilitacyjny., GŁUSI TURNUS REHABILITACJA WYJAZD
Kiedy w tym roku zaczynają się wakacje?, WAKACJE TERAZ KIEDY ZACZYNAĆ
Mój dom jest stary i zimny., DOM MÓJ STARY ZIMNO JEST
Rzadko palę papierosy., JA PAPIEROSY PALIĆ RZADKO
Brakuje mi pieniędzy i nie mogę kupić wszystkich lekarstw., JA LEKARSTWA KUPIĆ NIEMOŻLIWE PIENIĄDZE BRAKOWAC
Brakuje mi pieniędzy i nie mogę kupić wszystkich lekarstw., JA LEKARSTWA KUPIĆ PIENIĄDZE SKĄD
