pl,mig
TO JEST NUMER POGOTOWIA RATUNKOWEGO 999., POGOTOWIE RATUNKOWE TELEFON NUMER 999
MUSIMY PANIĄ ZBADAĆ., TY BADANIE MUSIEĆ
MUSIMY PANA ZBADAĆ., TY BADANIE MUSIEĆ
TRZEBA WEZWAĆ POGOTOWIE., POGOTOWIE WEZWAĆ MUSIEĆ
PAN MIAŁ ZAWAŁ SERCA., TY ZAWAŁ BYŁO
PAN MIAŁ ZAWAŁ UDAR., TY UDAR BYŁO
PAN MIAŁ ZAWAŁ WYLEW., TY WYLEW BYŁO
PANI MIAŁA ZAWAŁ SERCA., TY ZAWAŁ BYŁO
PANI MIAŁA ZAWAŁ UDAR., TY UDAR BYŁO
PANI MIAŁA ZAWAŁ WYLEW., TY WYLEW BYŁO
MUSIMY ZABRAĆ PANIĄ DO SZPITALA., TY SZPITAL JECHAĆ MUSIEĆ
MUSIMY ZABRAĆ PANA DO SZPITALA., TY SZPITAL JECHAĆ MUSIEĆ
DAMY PANI ZASTRZYK., TY ZASTRZYK MUSIEĆ
DAMY PANI ZASTRZYK., TY ZASTRZYK MIEĆ
DAMY PANU ZASTRZYK., TY ZASTRZYK MUSIEĆ
DAMY PANU ZASTRZYK., TY ZASTRZYK MIEĆ
DAMY PANI KROPLÓWKA., TY KROPLÓWKA MUSIEĆ
DAMY PANI KROPLÓWKA., TY KROPLÓWKA MIEĆ
DAMY PANU KROPLÓWKA., TY KROPLÓWKA MUSIEĆ
DAMY PANU KROPLÓWKA., TY KROPLÓWKA MIEĆ
ZBADAMY PANI TĘTNO., TY TĘTNO BADAĆ MUSIEĆ
ZBADAMY PANU TĘTNO., TY TĘTNO BADAĆ MUSIEĆ
ZBADAMY PANI CIŚNIENIE., TY CIŚNIENIE BADAĆ MUSIEĆ
ZBADAMY PANU CIŚNIENIE., TY CIŚNIENIE BADAĆ MUSIEĆ
PROSZĘ ODDYCHAĆ., PROSIĆ TERAZ TY ODDYCHAĆ
ZROBIMY PRZEŚWIETLENIE., TY PRZEŚWIETLENIE BYĆ
ZROBIMY USG., TY USG BYĆ
ZROBIMY EKG., TY EKG BYĆ
ZROBIMY REZONANS., TY REZONANS BYĆ
ZROBIMY TOMOGRAF., TY TOMOGRAF BYĆ
CO SIĘ STAŁO?, STAŁO CO
PROSZĘ USIĄŚĆ NA WÓZEK INWALIDZKI., JA PROSIĆ TY WÓZEK INWALIDZKI SIADAĆ
RAK TO CHOROBA TRUDNA DO LECZENIA., RAK LECZENIE TRUDNO
PROSZĘ SIĘ NIE MARTWIĆ BĘDZIE DOBRZE., PROSIĆ TY DOBRZE BĘDZIE MARTWIĆ NIE
PROSZĘ ODDYCHAĆ ZBADAM PŁUCA., PROSIĆ TY TERAZ ODDYCHAĆ JA PŁUCA BADAĆ MUSIEĆ
TRZEBA ZROBIĆ PRZEŚWIETLENIE., TY PRZEŚWIETLENIE ZROBIĆ MUSIEĆ
TRZEBA ZROBIĆ USG., TY USG ZROBIĆ MUSIEĆ
TRZEBA ZROBIĆ EKG., TY EKG ZROBIĆ MUSIEĆ
