pl,mig
Trzeba przestrzegać przepisów prawa., PRAWO PRZEPIS PRZESTRZEGAĆ TRZEBA
Mam sprawę w sądzie., JA SPRAWA SĄD BĘDZIE
Pan otrzymał naganę w pracy., PAN PRACA NAGANA BYŁO
Otrzymałeś naganę w pracy., TY PRACA NAGANA BYŁO
To są dwie osobne sprawy., SPRAWA 2 OSOBNA
Czy kara będzie wysoka?, KARA JAKA
Czy znasz przepisy ustawy?, TY USTAWA PRZEPIS WIEDZIEĆ
To jest decyzja administracyjna., TO DECYZJA ADMINISTRACYJNA
To są instytucje państwowe,. TO INSTYTUCJE PAŃSTWOWE
Na jakiej ulicy jest ZUS?, ZUS ULICA JAKA
Na jakiej ulicy jest ZUS?, ZUS ULICA JAK NAZYWA
Na jakiej ulicy jest ZUS?, ZUS ULICA JAKI ADRES
Gdzie w Rzeszowie jest MOPS?, MOPS RZESZÓW ULICA JAKA
Gdzie w Rzeszowie jest MOPS?, MOPS RZESZÓW ULICA JAK NAZYWA
Gdzie w Rzeszowie jest MOPS?, MOPS RZESZÓW ULICA JAKI ADRES
Trzeba napisać odwołanie., ODWOŁANIE PISAĆ TRZEBA
Dlaczego Pani nie chce jeść?, PANI JEŚĆ NIE CHCIEĆ DLACZEGO
Dlaczego Pan nie chce jeść?, PAN JEŚĆ NIE CHCIEĆ DLACZEGO
Dlaczego nie chcesz jeść?, TY JEŚĆ NIE CHCIEĆ DLACZEGO
W szkole trzeba się uczyć., SZKOŁA UCZYĆ TRZEBA
Proszę się zapytać osobiście., TY ZAPYTAĆ
To jest szkolny obowiązek., SZKOŁA OBOWIĄZEK
Czy ty dobrze się uczyłeś w szkole?, TY SZKOŁA NAUKA DOBRZE BYŁO
To są dobrzy ludzie., LUDZIE DOBRZE
To jest dobry człowiek., TEN CZŁOWIEK DOBRY
Ja czekam na tego Pana., JA CZEKAĆ PAN TEN
Co się stało?, CO SIĘ STAŁO
Co się stało?, CO SIĘ WYDARZYŁO
Czy Pani widziała wypadek?, PANI WYPADEK WIDZIEĆ BYŁO
Czy widziałaś wypadek?, TY WYPADEK WIDZIEĆ BYŁO
Czy te dokumenty są ważne?, TE DOKUMENTY WAŻNE BYĆ
To jest ważna sprawa., TO SPRAWA WAŻNA BYĆ
Czy Pan był świadkiem wypadku?, PAN WYPADEK WIDZIEĆ BYŁO
Czy byłeś świadkiem wypadku?, TY WYPADEK WIDZIEĆ BYŁO
Czy Pan był świadkiem wypadku?, TY ŚWIADEK BYŁO
Czy Pani pamięta co się stało?, PANI PAMIĘTAĆ WYDARZYŁO BYŁO
Czy Pan pamięta co się stało?, PAN PAMIĘTAĆ WYDARZYŁO BYŁO
Czy pamiętasz co się stało?, TY PAMIĘTAĆ WYDARZYŁO BYŁO
Dzisiaj widziałam wypadek na ulicy., DZISIAJ JA WYPADEK ULICA WIDZIEĆ
Ja nie pamiętam co się stało., JA ZAPOMNIEĆ WYDARZYĆ
Kiedy pani może przyjść?, PANI KIEDY PRZYJŚĆ
Kiedy możesz przyjść?, TY KIEDY PRZYJŚĆ
Gdzie jest kasa?, KASA GDZIE
Tu jest błąd., TU BŁĄD
Czy można podpisać ugodę?, UGODA PODPISAĆ MOŻNA
Proszę przekazać dokumenty., DOKUMENTY PRZEKAZAĆ PROSZĘ
W jakim rejonie mieszkasz?, TY MIESZKAĆ REJON JAKI
Przypominam o terminie., TERMIN PRZYPOMINAĆ
Przypominam o terminie., TERMIN PAMIĘTAĆ
Czy Polska należy do Unii Europejskiej?, POLSKA BYĆ UNIA EUROPA
Czy Pani ma konto w banku?, PANI KONTO BANK MASZ
Czy Pan ma konto w banku?, PAN KONTO BANK MASZ
Czy masz konto w banku?, TY KONTO BANK MASZ
Trzeba zwrócić kredyt do banku., BANK RATA ZWROT TRZEBA
Trzeba zwrócić kredyt do banku., BANK RATA ZWROT MUSI
Kiedy będzie wypłacona pożyczka?, POŻYCZKA WYPŁATA KIEDY
To jest ostatnia rata., RATA OSTATNIA
Czy otrzymałaś zawiadomienie z banku?, TY BANK ZAWIADOMIENIE BYŁO
Ja otrzymuję wypłatę na konto w banku., JA KONTO WYPŁATA
Raty trzeba płacić systematycznie., RATA SYSTEMATYCZNE PŁACIĆ TRZEBA
Raty trzeba płacić systematycznie., RATA SYSTEMATYCZNE PŁACIĆ MUSIEĆ
Ja potrzebuję wziąć pożyczkę., JA POŻYCZKA POTRZEBA
Koniec ze spłatami rat., RATA KONIEC
Kto to jest?, TO KTO
Jaka jest dzisiaj data?, DATA DZISIAJ JAKA
Ja tutaj mieszkam., JA MIESZKAĆ TU
Ja tutaj mieszkam., JA MIESZKAĆ TUTAJ
W jakim roku?, ROK JAKI
Jaki dzisiaj jest dzień?, DZIEŃ DZISIAJ JAKI
Co to jest?, CO TO JEST
Proszę odpowiedzieć na pytanie., PROSIĆ - JA PYTAĆ TY
Proszę odpowiedzieć na pytanie., ODPOWIEDZ - PROSIĆ
Proszę migać powoli., JA PROSIĆ TY MIGAĆ POWOLI
Proszę mówić powoli., JA PROSIĆ TY MÓWIĆ POWOLI
Czy jest tłumacz języka migowego?, TŁUMACZ MIGAĆ JEST
Proszę odpowiedzieć na pytanie., JA PYTAĆ TY ODPOWIEDŹ PROSIĆ
Ja umiem dobrze migać., JA MIGAĆ DOBRZE
Ja ciebie nie zrozumiałem., JA NIE ROZUMIEĆ CIEBIE TY POWTÓRZYĆ
Czy jutro jest poniedziałek?, JUTRO PONIEDZIAŁEK
We wtorek mam badanie krwi., WTOREK JA KREW BADANIE
W środę ja nie pracuję., ŚRODA JA PRACA NIE BĘDZIE
W czwartek miałem kontrolę policji., CZWARTEK JA POLICJA KONTROLA BYŁO
Co ty robisz w piątek?, PIĄTEK TY CO ROBIĆ
W sobotę mam urodziny., SOBOTA JA URODZINY
Niedziela to dzień wolny od pracy., NIEDZIELA PRACA WOLNY
Czy ma Pani dowód osobisty?, PANI DOWÓD MIEĆ
Czy ma Pan dowód osobisty?, PAN DOWÓD MIEĆ
Czy masz dowód osobisty?, TY DOWÓD MIEĆ
Czy ma Pani dowód osobisty?, PANI DOWÓD MASZ
Czy ma Pan dowód osobisty?, PAN DOWÓD MASZ
Czy masz dowód osobisty?, TY DOWÓD MASZ
Jaki ma Pani numer dowodu osobistego?, PANI DOWÓD NUMER JAKI
Jaki ma Pan numer dowodu osobistego?, PAN DOWÓD NUMER JAKI
Jaki masz numer dowodu osobistego?, TY DOWÓD NUMER JAKI
Proszę napisać PESEL., TY PESEL PISAĆ TU
Czy masz paszport?, TY PASZPORT MASZ
Na jakiej ulicy jest Starostwo Powiatowe?, STAROSTWO POWIATOWE ULICA JAKA
Na jakiej ulicy jest Starostwo Powiatowe?, STAROSTWO POWIATOWE ULICA JAK NAZYWA
Proszę wniosek na paszport., WNIOSEK PASZPORT JA CHCIEĆ
Proszę wniosek na paszport., WNIOSEK PASZPORT JA PROSIĆ
Jaka to jest gmina?, GMINA JAKA
Jaka to jest gmina?, JAK NAZYWA GMINA
Ja miekszam w mieście wojewódzkim., JA MIESZKAĆ MIASTO WOJEWÓDZTWO
To jest powiat rzeszowski., TO POWIAT RZESZÓW
Gdzie jest urząd miasta?, URZĄD MIASTA GDZIE
Czy Pani umie mówić?, PANI MÓWIĆ UMIEĆ
Czy Pan umie mówić?, PAN MÓWIĆ UMIEĆ
Czy umiesz mówić?, TY MÓWIĆ UMIEĆ
Czy ty możesz mówić?, TY MÓWIĆ MOŻNA
Czy Pani umie migać?, PANI MIGAĆ UMIEĆ
Czy Pan umie migać?, PAN MIGAĆ UMIEĆ
Czy umiesz migać?, TY MIGAĆ UMIEĆ
